"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 09:16:03 UTC 2023","Thu May 11 09:16:06 UTC 2023","3383","","Smoke test of Google cloud calculator","","Smoke test of Google cloud calculator","Opens yopmail.com mail page and creates temporary email account","Opens yopmail.com mail page and creates temporary email account",""
"passed","Thu May 11 09:16:08 UTC 2023","Thu May 11 09:16:15 UTC 2023","6564","","Smoke test of Google cloud calculator","","Smoke test of Google cloud calculator","Search and open Google Cloud Pricing Calculator","Search and open Google Cloud Pricing Calculator",""
"passed","Thu May 11 09:16:15 UTC 2023","Thu May 11 09:16:18 UTC 2023","3170","","Smoke test of Google cloud calculator","","Smoke test of Google cloud calculator","Opens yopmail.com mail page and creates temporary email account","Opens yopmail.com mail page and creates temporary email account",""
"passed","Thu May 11 09:15:57 UTC 2023","Thu May 11 09:16:03 UTC 2023","5897","","Smoke test of Google cloud calculator","","Smoke test of Google cloud calculator","Search and open Google Cloud Pricing Calculator","Search and open Google Cloud Pricing Calculator",""
"passed","Thu May 11 09:16:05 UTC 2023","Thu May 11 09:16:08 UTC 2023","3051","","Smoke test of Google cloud calculator","","Smoke test of Google cloud calculator","Checks the page opened is google","Checks the page opened is google",""
"passed","Thu May 11 09:15:55 UTC 2023","Thu May 11 09:15:57 UTC 2023","1693","","Smoke test of Google cloud calculator","","Smoke test of Google cloud calculator","Checks the page opened is google","Checks the page opened is google",""
