"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 21:31:03 CEST 2022","Sun Jul 17 21:31:28 CEST 2022","25215","","Opens Google cloud calculator and adds data to create estimate","","Opens Google cloud calculator and adds data to create estimate","Opens Google cloud calculator link and adds data to create estimate","Opens Google cloud calculator link and adds data to create estimate",""
"passed","Tue Jul 19 10:04:34 CEST 2022","Tue Jul 19 10:04:44 CEST 2022","9735","","Smoke tests","","Smoke tests","Open google cloud calculator and yopmail.com","Open google cloud calculator and yopmail.com",""
"passed","Sun Jul 17 21:30:58 CEST 2022","Sun Jul 17 21:31:02 CEST 2022","3781","","Opens Google cloud calculator and adds data to create estimate","","Opens Google cloud calculator and adds data to create estimate","Opens Google cloud website and searches for Google cloud calculator","Opens Google cloud website and searches for Google cloud calculator",""
"passed","Tue Jul 19 10:04:31 CEST 2022","Tue Jul 19 10:04:42 CEST 2022","11241","","Smoke tests","","Smoke tests","Open google cloud calculator and yopmail.com","Open google cloud calculator and yopmail.com",""
"broken","Sun Jul 17 21:31:02 CEST 2022","Sun Jul 17 21:31:23 CEST 2022","20754","","Opens Google cloud calculator and adds data to create estimate","","Opens Google cloud calculator and adds data to create estimate","Opens Google cloud calculator link and adds data to create estimate","Opens Google cloud calculator link and adds data to create estimate",""
"passed","Sun Jul 17 21:31:28 CEST 2022","Sun Jul 17 21:31:28 CEST 2022","421","","Opens Google cloud calculator and adds data to create estimate","","Opens Google cloud calculator and adds data to create estimate","Checks the estimate data is as expected","Checks the estimate data is as expected",""
"passed","Sun Jul 17 21:30:57 CEST 2022","Sun Jul 17 21:31:03 CEST 2022","5765","","Opens Google cloud calculator and adds data to create estimate","","Opens Google cloud calculator and adds data to create estimate","Opens Google cloud website and searches for Google cloud calculator","Opens Google cloud website and searches for Google cloud calculator",""
"failed","Sun Jul 17 21:31:23 CEST 2022","Sun Jul 17 21:31:43 CEST 2022","20036","","Opens Google cloud calculator and adds data to create estimate","","Opens Google cloud calculator and adds data to create estimate","Checks the estimate data is as expected","Checks the estimate data is as expected",""
